race,gender,birth_year_in_5_year_units,avg_unit_allegations_per_officer_per_year,sd_unit_allegations_per_officer_per_year
Asian/Pacific,F,1940,0.4,
Asian/Pacific,F,1950,0.3888888888888889,
Asian/Pacific,F,1950,0.55,
Asian/Pacific,F,1950,0.125,
Asian/Pacific,F,1950,0.23333333333333334,
Asian/Pacific,F,1955,0.26370370370370366,0.2032277267410225
Asian/Pacific,F,1960,0.1,
Asian/Pacific,F,1960,0.2111111111111111,0.015713484026367706
Asian/Pacific,F,1960,0.24,
Asian/Pacific,F,1965,0,
Asian/Pacific,F,1970,0,
Asian/Pacific,F,1970,0,
Asian/Pacific,M,1930,0,
Asian/Pacific,M,1930,0,
Asian/Pacific,M,1935,0,
Asian/Pacific,M,1940,0,
Asian/Pacific,M,1940,0.8,
Asian/Pacific,M,1940,0.4116847826086957,0.21328492584702932
Asian/Pacific,M,1940,0.3842147435897436,0.33563772163708455
Asian/Pacific,M,1945,0.0801404853128991,0.09306700150482328
Asian/Pacific,M,1945,0.4187192118226601,0.18809737036489443
Asian/Pacific,M,1945,0.16188769414575865,0.14989979795457714
Asian/Pacific,M,1945,0.14781200781200782,0.10365362556869608
Asian/Pacific,M,1950,0.5121693121693122,0.6592201912889248
Asian/Pacific,M,1950,0.03225806451612903,
Asian/Pacific,M,1950,0.39826839826839827,0.17754196237584313
Asian/Pacific,M,1950,0.22181818181818183,0.2930743284279111
Asian/Pacific,M,1950,0.32962962962962966,0.3876523551102154
Asian/Pacific,M,1955,2.5,
Asian/Pacific,M,1955,0.4334224598930481,0.366917798844232
Asian/Pacific,M,1955,0.7405927405927407,0.17620217896037701
Asian/Pacific,M,1955,0.4651533253683791,0.4195051474462394
Asian/Pacific,M,1960,0.9,
Asian/Pacific,M,1960,0.7314814814814814,0.3273642505493276
Asian/Pacific,M,1960,0.7117918313570487,0.5806345747965685
Asian/Pacific,M,1960,1,
Asian/Pacific,M,1960,3.6842105263157894,
Asian/Pacific,M,1965,0.22844827586206895,0.03047874056838569
Asian/Pacific,M,1965,1.9807692307692308,0.7343031958475685
Asian/Pacific,M,1965,0.9576719576719577,1.3052921848822479
Asian/Pacific,M,1965,0,
Asian/Pacific,M,1970,1.0722222222222222,0.08552669065744799
Asian/Pacific,M,1970,0,
Asian/Pacific,M,1970,0.7272727272727273,
Asian/Pacific,M,1970,0.4807692307692308,0.22178004989751524
Asian/Pacific,M,1975,0.25,
Asian/Pacific,M,1975,1.25,0.6614378277661477
Asian/Pacific,M,1975,0.48484848484848486,0.5006882315714638
Asian/Pacific,M,1980,0.125,0.1767766952966369
Asian/Pacific,M,1980,0.5595238095238095,0.6713272466605563
Asian/Pacific,M,1980,0.3333333333333333,
Asian/Pacific,M,1980,1,
Asian/Pacific,M,1985,0,
Asian/Pacific,M,1990,0,
Asian/Pacific Islander,F,1985,0,
Asian/Pacific Islander,M,1985,0,
Asian/Pacific Islander,M,1995,0,
Black,F,1935,0,0
Black,F,1935,0,
Black,F,1935,0.5352357320099256,0.2162794017283368
Black,F,1935,0.2238095238095238,0.30517085657165927
Black,F,1940,0.18944656792482878,0.3075740589828932
Black,F,1940,0.1693411127199135,0.16734611878172378
Black,F,1940,0.30439332923804974,0.48330137482570884
Black,F,1940,0.28484834227746064,0.373491824671642
Black,F,1940,0.13322779846672697,0.20462537961502972
Black,F,1945,0.1839038477603066,0.2891034030704505
Black,F,1945,0.22584415041283112,0.22256695373891813
Black,F,1945,0.2365633052287141,0.3147642215173878
Black,F,1945,0.3951689144619952,0.7944933968328811
